@relation 'about128s-weka.filters.unsupervised.attribute.Remove-R7,9-11-weka.filters.unsupervised.attribute.NumericToNominal-R7'

@attribute rate numeric
@attribute sigma1 numeric
@attribute sigma2 numeric
@attribute sigma4 numeric
@attribute sigma8 numeric
@attribute sigma16 numeric
@attribute class {1,2,3}

@data
119011,3.59267,2.456327,1.59708,0.866053,0.269955,2
541936,1.596189,1.157041,0.695384,0.350529,0.103023,3
810266,1.432865,0.971738,0.444031,0.251026,0.14551,3
2157487,0.411174,0.3179,0.238907,0.126684,0.074161,3
1727190,0.53775,0.377927,0.187311,0.107603,0.064851,3
24747,7.869054,5.562039,3.926462,2.756691,1.880776,1
44498,4.861937,3.389163,3.393722,2.347215,1.522717,1
57785,3.862473,2.851309,1.906252,1.134016,0.625453,1
69052,3.472963,2.367236,2.122716,1.25342,0.830602,1
9,3.771236,2.581989,1.666667,0.881917,0.745356,1
216939,2.474557,1.816551,1.140427,0.592637,0.374489,2
147646,2.941017,2.100515,1.46461,0.716494,0.041067,2
176853,2.767375,1.834886,1.139913,0.743044,0.253043,2
119021,3.380216,2.487671,1.621955,0.865226,0.269351,2
558451,1.551195,1.069029,0.653727,0.327518,0.121802,3
767798,1.363932,1.186838,0.51728,0.292226,0.128109,3
2189322,0.408826,0.29573,0.153618,0.106623,0.055208,3
1715690,0.650158,0.394649,0.165271,0.088313,0.040405,3
24748,6.718869,4.734084,3.92629,2.75654,1.880673,1
24948,7.869023,5.562006,3.926422,2.756491,1.880818,1
57774,3.759188,2.850424,1.905571,1.133406,0.624571,1
69037,3.620889,2.477285,1.950248,1.09402,0.830169,1
18104,7.095351,5.005377,3.518196,2.443416,1.608483,1
217059,2.49147,1.81682,1.140596,0.592621,0.374914,2
144364,3.088498,2.177954,1.497241,0.735226,0.041946,2
176882,2.593172,1.919015,1.444898,0.7432,0.25272,2
140877,2.731667,2.027917,1.24824,0.623806,0.316814,2
585438,1.659779,1.181912,0.572755,0.453627,0.12046,3
794312,1.291889,1.05173,0.52512,0.256039,0.058183,3
2169302,0.379355,0.179556,0.123955,0.109608,0.093533,3
1955520,0.521211,0.349903,0.253197,0.165483,0.075959,3
24748,7.868731,5.561807,3.92629,2.75654,1.880673,1
1712,7.826611,5.531452,3.904078,2.739466,1.868486,1
57803,4.130781,2.854034,1.908355,1.135905,0.62613,1
69033,3.836311,3.508608,2.407,1.311196,0.831745,1
20210,7.868548,5.561665,3.926174,2.756307,1.880444,1
210769,2.728574,1.867969,1.171445,0.606794,0.376626,2
144268,3.233638,2.188226,1.49902,0.828779,0.04196,2
176925,2.780712,1.845104,1.206033,0.743296,0.252398,2
119079,3.375806,2.487552,1.621863,0.865132,0.269286,2
536926,2.120193,1.516497,0.78838,0.250458,0.103151,3
792334,1.748115,1.12109,0.549222,0.314482,0.057339,3
2162646,0.836761,0.39561,0.230941,0.104033,0.086584,3
1727654,0.882135,0.299119,0.176109,0.056382,0.032952,3
24743,7.870342,5.562953,3.927134,2.757046,1.881057,1
1824,7.829845,5.533837,3.905757,2.740614,1.870829,1
57713,4.129092,2.852717,1.907341,1.134997,0.625566,1
69075,3.449269,2.40523,1.856491,0.910326,0.830638,1
8023,7.859788,5.55536,3.921548,2.752765,1.877562,1
215226,2.898662,1.93513,1.137581,0.592522,0.379152,2
144316,3.204604,2.166418,1.363171,0.682438,0.041454,2
176842,3.074675,2.106554,1.504717,0.74312,0.252939,2
140830,3.265379,2.212069,1.400543,0.624587,0.317293,2
537025,1.899844,1.144385,0.664415,0.30431,0.10288,3
808434,1.435117,0.975529,0.454554,0.216594,0.085458,3
1727633,0.722292,0.293547,0.186827,0.091186,0.059547,3
24798,7.860368,5.555794,3.926476,2.75668,1.880793,1
5642,7.864052,5.558429,3.923814,2.754456,1.87943,1
57737,4.127768,2.851741,1.90659,1.365095,0.624632,1
69002,3.865609,2.658527,1.756412,0.901443,0.831418,1
6024,7.856448,5.552942,3.919784,2.751403,1.876455,1
201422,2.81111,1.951808,1.222946,0.632189,0.383231,2
144395,2.927431,2.161503,1.359132,0.626155,0.041359,2
176842,2.943032,2.106832,1.504706,0.74312,0.252939,2
140780,3.03709,2.21183,1.400363,0.624368,0.316935,2
566234,1.935245,1.231184,0.658388,0.324136,0.136957,3
797692,1.476925,0.980291,0.399095,0.266554,0.049821,3
2187955,0.545326,0.289864,0.187621,0.124363,0.055197,3
1742767,0.885857,0.358746,0.239397,0.129989,0.069858,3
24744,5.596062,3.922534,2.71725,2.757049,1.881062,1
7100,7.85731,5.553568,3.920226,2.751747,1.877517,1
57876,3.61496,2.852555,1.907214,1.134876,0.624463,1
69034,3.473468,2.755739,2.157581,1.049552,0.831077,1
13,3.258126,2.201398,1.687055,1.568929,1.1094,1
198273,2.731049,1.799645,1.146919,0.642216,0.387142,2
144445,3.045031,2.146408,1.49717,0.82756,0.041686,2
176829,2.633824,2.10732,1.504611,0.743007,0.252646,2
140877,3.023078,2.029538,1.249604,0.62442,0.317374,2
569536,1.680969,1.255469,0.652619,0.361135,0.143952,3
790084,1.461819,1.151703,0.527474,0.279791,0.092799,3
2158085,0.42771,0.304321,0.187982,0.133665,0.055669,3
1739095,0.741142,0.411081,0.153099,0.079437,0.033279,3
24748,7.868731,5.561807,3.926295,2.75654,1.880673,1
28844,7.868908,5.561936,3.926392,2.75648,1.880828,1
57738,3.836107,2.636725,1.739355,0.979809,0.56654,1
68982,2.938903,2.011848,1.683061,0.82289,0.831024,1
4239,7.86158,5.556631,3.922431,2.753453,1.878285,1
213869,2.553243,1.678228,1.113023,0.554397,0.375372,2
144338,3.116381,2.193949,1.498788,0.736695,0.041701,2
176828,2.551121,1.819712,1.238095,0.548123,0.252882,2
140800,2.45027,1.5894,1.062677,0.624306,0.31708,2
536950,1.716101,1.135817,0.717318,0.361245,0.103221,3
794311,1.313931,1.072517,0.50238,0.296008,0.175798,3
2155599,0.449801,0.257974,0.19601,0.125573,0.04638,3
1738534,0.52226,0.386475,0.236926,0.13284,0.052867,3
24748,5.783222,4.058133,3.92629,2.75654,1.880673,1
61201,5.048881,3.525209,2.685162,1.789424,0.98613,1
