@relation 'multiresolution-weka.filters.unsupervised.attribute.Remove-R7,9-11'

@attribute rate numeric
@attribute sigma1 numeric
@attribute sigma2 numeric
@attribute sigma4 numeric
@attribute sigma8 numeric
@attribute sigma16 numeric
@attribute class {1,2,3}

@data
67262,4.147158,3.11556,2.415963,1.570407,0.863339,1
68982,3.540766,2.695304,2.122912,1.254582,0.831155,1
2028180,0.871782,0.847291,0.778163,0.747069,0,1
1014106,1.587418,1.560671,1.486934,1.454691,0.999968,1
676081,2.068739,2.037985,1.953538,1.91678,1.414148,1
539999,2.314933,2.265937,2.167997,2.127144,1.59423,1
33183,6.26404,4.372536,3.009903,2.623504,1.715047,1
33179,6.264814,4.373092,3.01031,2.623869,1.715326,1
33700,6.215488,4.370748,3.078277,2.757837,1.881733,1
10,3.660601,2.48998,1.612452,0.894427,0.447214,1
2215364,1.165503,0.890737,0.77901,0.757635,0.062497,2
1226261,1.706174,1.37372,1.237622,1.207088,0.72561,2
855567,2.093625,1.725898,1.567687,1.529128,1.027249,2
714285,2.25381,1.848781,1.66797,1.619459,1.114366,2
218235,2.800216,1.950287,1.184008,0.584465,0.370647,2
217503,2.525315,1.860086,1.109042,0.584753,0.368567,2
219540,2.645447,1.836003,1.17343,0.61211,0.362174,2
216963,2.548539,1.776273,1.140475,0.592647,0.374924,2
320553,1.454716,1.327459,0.895418,0.070694,0,2
246750,2.001561,1.587192,1.055747,0.484934,0.299097,2
306995,1.792668,1.271065,0.751547,0.427339,0.339925,2
317261,1.738685,1.169956,0.68292,0.414813,0.290317,2
269959,1.98781,1.282598,0.750795,0.59271,0.451936,2
284235,1.974653,1.265854,0.720231,0.48902,0.396894,2
213355,2.38794,1.621052,1.035106,0.638922,0.429147,2
186654,2.72545,1.821711,1.150371,0.472632,0.278064,2
2273278,0.946905,0.905524,0.875012,0.871983,0,2
1212054,1.555183,1.497472,1.458149,1.451398,0.875559,2
893040,1.83328,1.758021,1.701028,1.685874,1.093906,2
711321,2.074675,1.977436,1.907865,1.886966,1.269009,2
177337,2.970495,2.105704,1.310357,0.598856,0.259338,2
